new_time,avg
2021-06-25 16:33:00+03,33689.2888
2021-06-25 16:33:30+03,33668.7333
2021-06-25 16:34:00+03,33738.763
2021-06-25 16:34:30+03,33699.58
2021-06-25 16:35:00+03,33757.4434
2021-06-25 16:35:30+03,33736.6633
2021-06-25 16:36:00+03,33749.2058
2021-06-25 16:36:30+03,33720.2517
2021-06-25 16:37:00+03,33733.2775
2021-06-25 16:37:30+03,33723.525
2021-06-25 16:38:00+03,33746.5833
2021-06-25 16:38:30+03,33775.233
2021-06-25 16:39:00+03,33775.233
2021-06-25 16:39:30+03,33742.9
2021-06-25 16:40:00+03,33781.7267
2021-06-25 16:40:30+03,33709.4833
2021-06-25 16:41:00+03,33706.3657
2021-06-25 16:41:30+03,33635.4733
2021-06-25 16:42:00+03,33550.8433
2021-06-25 16:42:30+03,33629.0086
2021-06-25 16:43:00+03,33558.3233
2021-06-25 16:43:30+03,33600.9628
2021-06-25 16:44:00+03,33554.42
2021-06-25 16:44:30+03,33569.618
2021-06-25 16:45:00+03,33564.6267
2021-06-25 16:45:30+03,33583.3255
2021-06-25 16:46:00+03,33581.6417
2021-06-25 16:46:30+03,33650.5388
2021-06-25 16:47:00+03,33611.3633
2021-06-25 16:47:30+03,33658.3223
2021-06-25 16:48:30+03,33641.225
2021-06-25 16:49:00+03,33691.4479
2021-06-25 16:49:30+03,33655.9867
2021-06-25 16:50:00+03,33675.3614
2021-06-25 16:50:30+03,33643.4417
2021-06-25 16:51:00+03,33653.7308
2021-06-25 16:51:30+03,33612.2683
2021-06-25 16:52:00+03,33621.0267
2021-06-25 16:52:30+03,33563.7483
2021-06-25 16:53:00+03,33636.6577
2021-06-25 16:53:30+03,33617.435
2021-06-25 16:54:00+03,33635.6854
2021-06-25 16:54:30+03,33578.7567
2021-06-25 16:55:00+03,33616.408
2021-06-25 16:55:30+03,33624.5183
2021-06-25 16:56:00+03,33679.9188
2021-06-25 16:56:30+03,33683.9989
2021-06-25 16:57:00+03,33658.7533
2021-06-25 16:57:30+03,33694.9348
2021-06-25 16:58:00+03,33694.9348
2021-06-25 16:58:30+03,33738.9881
2021-06-25 16:59:00+03,33707.6683
2021-06-25 16:59:30+03,33764.5273
2021-06-25 17:00:00+03,33720.93
2021-06-25 17:00:30+03,33684.94505
2021-06-25 17:01:00+03,33715.925
2021-06-25 17:01:30+03,33766.10515
2021-06-25 17:02:00+03,33776.07
2021-06-25 17:02:30+03,33768.39165
2021-06-25 17:03:00+03,33791.44335
2021-06-25 17:03:30+03,33783.62
2021-06-25 17:04:00+03,33810.28325
2021-06-25 17:04:30+03,33798.14415
2021-06-25 17:05:00+03,33837.9233
2021-06-25 17:05:30+03,33794.26835
2021-06-25 17:06:00+03,33783.7257
2021-06-25 17:06:30+03,33782.87335
2021-06-25 17:07:00+03,33822.00745
2021-06-25 17:07:30+03,33806.34585
2021-06-25 17:08:00+03,33844.4916
2021-06-25 17:08:30+03,33830.0425
2021-06-25 17:09:00+03,33846.43855
2021-06-25 17:09:30+03,33824.34665
2021-06-25 17:10:00+03,33837.3273
2021-06-25 17:10:30+03,33797.70335
2021-06-25 17:11:00+03,33802.3233
2021-06-25 17:11:30+03,33757.6925
2021-06-25 17:12:00+03,33761.7582
2021-06-25 17:12:30+03,33734.10415
2021-06-25 17:13:00+03,33723.703
2021-06-25 17:13:30+03,33693.4725
2021-06-25 17:14:00+03,33705.99615
2021-06-25 17:14:30+03,33639.52165
2021-06-25 17:15:00+03,33624.44805
2021-06-25 17:15:30+03,33631.044
2021-06-25 17:16:00+03,33604.2375
2021-06-25 17:16:30+03,33648.78745
2021-06-25 17:17:00+03,33616.5225
2021-06-25 17:17:30+03,33629.0815
2021-06-25 17:18:00+03,33605.6725
2021-06-25 17:18:30+03,33611.2863
2021-06-25 17:19:00+03,33532.66
2021-06-25 17:19:30+03,33534.18195
2021-06-25 17:20:00+03,33477.3275
2021-06-25 17:20:30+03,33495.191
2021-06-25 17:21:00+03,33465.18415
2021-06-25 17:21:30+03,33450.04765
2021-06-25 17:22:00+03,33426.67
2021-06-25 17:22:30+03,33429.8175
2021-06-25 17:23:00+03,33467.8767
2021-06-25 17:23:30+03,33459.915
2021-06-25 17:24:00+03,33507.28115
2021-06-25 17:24:30+03,33478.09915
2021-06-25 17:25:00+03,33513.78335
2021-06-25 17:25:30+03,33507.45135
2021-06-25 17:26:00+03,33512.1
2021-06-25 17:26:30+03,33501.24665
2021-06-25 17:27:00+03,33542.87935
2021-06-25 17:27:30+03,33516.8575
2021-06-25 17:28:00+03,33534.3963
2021-06-25 17:28:30+03,33515.32715
2021-06-25 17:29:00+03,33485.17915
2021-06-25 17:29:30+03,33483.73
2021-06-25 17:30:00+03,33456.3425
2021-06-25 17:30:30+03,33400.04
2021-06-25 17:31:00+03,33405.78785
2021-06-25 17:31:30+03,33441.93585
2021-06-25 17:32:00+03,33482.37415
2021-06-25 17:32:30+03,33492.8631
2021-06-25 17:33:00+03,33451.19165
2021-06-25 17:33:30+03,33452.48
2021-06-25 17:34:00+03,33447.05
2021-06-25 17:34:30+03,33428.82915
2021-06-25 17:35:00+03,33472.60265
2021-06-25 17:35:30+03,33505.6923
2021-06-25 17:36:00+03,33481.6025
2021-06-25 17:36:30+03,33497.215
2021-06-25 17:37:00+03,33488.13
2021-06-25 17:37:30+03,33455.28335
2021-06-25 17:38:00+03,33477.50545
2021-06-25 17:38:30+03,33474.3625
2021-06-25 17:39:00+03,33489.58245
2021-06-25 17:39:30+03,33448.64675
2021-06-25 17:40:00+03,33399.97835
2021-06-25 17:40:30+03,33435.4616
2021-06-25 17:41:00+03,33412.79585
2021-06-25 17:41:30+03,33385.0183
2021-06-25 17:42:00+03,33354.37
2021-06-25 17:42:30+03,33356.69665
2021-06-25 17:43:00+03,33389.1619
2021-06-25 17:43:30+03,33375.8875
2021-06-25 17:44:00+03,33398.68805
2021-06-25 17:44:30+03,33425.53065
2021-06-25 17:45:00+03,33432.39915
2021-06-25 17:45:30+03,33437.72625
2021-06-25 17:46:00+03,33438.5075
2021-06-25 17:46:30+03,33485.93
2021-06-25 17:47:00+03,33468.25155
2021-06-25 17:47:30+03,33432.98585
2021-06-25 17:48:00+03,33424.376
2021-06-25 17:48:30+03,33386.58415
2021-06-25 17:49:00+03,33375.60285
2021-06-25 17:49:30+03,33371.24015
2021-06-25 17:50:00+03,33298.45835
2021-06-25 17:50:30+03,33403.6
2021-06-25 17:51:00+03,33433.77015
2021-06-25 17:51:30+03,33367.34585
2021-06-25 17:52:00+03,33384.6444
2021-06-25 17:52:30+03,33334.00585
2021-06-25 17:53:00+03,33351.0328
2021-06-25 17:53:30+03,33332.31325
2021-06-25 17:54:00+03,33298.94835
2021-06-25 17:54:30+03,33317.74
2021-06-25 17:55:00+03,33296.69615
2021-06-25 17:55:30+03,33274.19
2021-06-25 17:56:00+03,33297.1518
2021-06-25 17:56:30+03,33246.99665
2021-06-25 17:57:00+03,33263.086
2021-06-25 17:57:30+03,33281.93005
2021-06-25 17:58:00+03,33260.4075
2021-06-25 17:58:30+03,33316.2
2021-06-25 17:59:00+03,33337.0765
2021-06-25 17:59:30+03,33285.45835
2021-06-25 18:00:00+03,33290.47115
2021-06-25 18:00:30+03,33262.78915
2021-06-25 18:01:00+03,33325.3025
2021-06-25 18:01:30+03,33379.3514
2021-06-25 18:02:00+03,33333.55665
2021-06-25 18:02:30+03,33292.12
2021-06-25 18:03:00+03,33249.07525
2021-06-25 18:03:30+03,33204.44835
2021-06-25 18:04:00+03,33208.9549
2021-06-25 18:04:30+03,33171.055
2021-06-25 18:05:00+03,33174.86415
2021-06-25 18:05:30+03,33186.421
2021-06-25 18:06:00+03,33188.72
2021-06-25 18:06:30+03,33167.86
2021-06-25 18:07:00+03,33225.70955
2021-06-25 18:07:30+03,33228.12585
2021-06-25 18:08:00+03,33282.02455
2021-06-25 18:08:30+03,33262.26415
2021-06-25 18:09:00+03,33318.31905
2021-06-25 18:09:30+03,33377.72905
2021-06-25 18:10:00+03,33391.91835
2021-06-25 18:10:30+03,33423.49
2021-06-25 18:11:00+03,33405.7601
2021-06-25 18:11:30+03,33404.4325
2021-06-25 18:12:00+03,33469.2435
2021-06-25 18:12:30+03,33478.64905
2021-06-25 18:13:00+03,33453.29415
2021-06-25 18:13:30+03,33429.7221
2021-06-25 18:14:00+03,33429.66335
2021-06-25 18:14:30+03,33491.08
2021-06-25 18:15:00+03,33470.73225
2021-06-25 18:15:30+03,33402.45
2021-06-25 18:16:00+03,33382.96395
2021-06-25 18:16:30+03,33363.00385
2021-06-25 18:17:00+03,33400.94085
2021-06-25 18:17:30+03,33486.24915
2021-06-25 18:18:00+03,33524.85
2021-06-25 18:18:30+03,33483.85915
2021-06-25 18:19:00+03,33514.2226
2021-06-25 18:19:30+03,33481.11665
2021-06-25 18:20:00+03,33525.33165
2021-06-25 18:20:30+03,33520.95915
2021-06-25 18:21:00+03,33503.145
2021-06-25 18:21:30+03,33499.8577
2021-06-25 18:22:00+03,33512.28
2021-06-25 18:22:30+03,33462.6
2021-06-25 18:23:00+03,33462.65135
2021-06-25 18:23:30+03,33482.9102
2021-06-25 18:24:00+03,33468.885
2021-06-25 18:24:30+03,33525.59475
2021-06-25 18:25:00+03,33520.68
2021-06-25 18:25:30+03,33461.70585
2021-06-25 18:26:00+03,33455.04075
2021-06-25 18:26:30+03,33435.63585
2021-06-25 18:27:00+03,33440.93065
2021-06-25 18:27:30+03,33389.5994
2021-06-25 18:28:00+03,33384.62585
2021-06-25 18:28:30+03,33385
2021-06-25 18:29:00+03,33371.17475
2021-06-25 18:29:30+03,33364.0125
2021-06-25 18:30:00+03,33373.36605
2021-06-25 18:30:30+03,33314.02615
2021-06-25 18:31:00+03,33262.4525
2021-06-25 18:31:30+03,33271.96005
2021-06-25 18:32:00+03,33217.585
2021-06-25 18:32:30+03,33248.59
2021-06-25 18:33:00+03,33250.4288
2021-06-25 18:33:30+03,33244.31085
2021-06-25 18:34:00+03,33261.31405
2021-06-25 18:34:30+03,33274.73225
2021-06-25 18:35:00+03,33255.29915
2021-06-25 18:35:30+03,33268.1726
2021-06-25 18:36:00+03,33267.9
2021-06-25 18:36:30+03,33234.19585
2021-06-25 18:37:00+03,33238.74175
2021-06-25 18:37:30+03,33215.11415
2021-06-25 18:38:00+03,33219.4745
2021-06-25 18:38:30+03,33190.12815
2021-06-25 18:39:00+03,33098.1925
2021-06-25 18:39:30+03,33132.88715
2021-06-25 18:40:00+03,33099.19
2021-06-25 18:40:30+03,33095.20335
2021-06-25 18:41:00+03,33115.51975
2021-06-25 18:41:30+03,33076.31085
2021-06-25 18:42:00+03,33074.50555
2021-06-25 18:42:30+03,33063.35915
2021-06-25 18:43:00+03,33046.9707
2021-06-25 18:43:30+03,33040.405
2021-06-25 18:44:00+03,33086.9984
2021-06-25 18:44:30+03,33148.30545
2021-06-25 18:45:00+03,33104.585
2021-06-25 18:45:30+03,33068.58275
2021-06-25 18:46:00+03,32995.02665
2021-06-25 18:46:30+03,32985.51125
2021-06-25 18:47:00+03,32972.08585
2021-06-25 18:47:30+03,32980.13445
2021-06-25 18:48:00+03,32940.66085
2021-06-25 18:48:30+03,32869.79715
2021-06-25 18:49:00+03,32886.3925
2021-06-25 18:49:30+03,32928.75085
2021-06-25 18:50:00+03,32901.58
2021-06-25 18:50:30+03,32902.20875
2021-06-25 18:51:00+03,32883.42
2021-06-25 18:51:30+03,32837.5675
2021-06-25 18:52:00+03,32878.7983
2021-06-25 18:52:30+03,32871.14665
2021-06-25 18:53:00+03,32940.35625
2021-06-25 18:53:30+03,32929.47085
2021-06-25 18:54:00+03,32953.40585
2021-06-25 18:54:30+03,32940.4675
2021-06-25 18:55:00+03,32977.65215
2021-06-25 18:55:30+03,32952.02165
2021-06-25 18:56:00+03,32949.344
2021-06-25 18:56:30+03,32908.70335
2021-06-25 18:57:00+03,32954.5411
2021-06-25 18:57:30+03,32967.2
2021-06-25 18:58:00+03,33039.17315
2021-06-25 18:58:30+03,33027.5775
2021-06-25 18:59:00+03,33096.4939
2021-06-25 18:59:30+03,33087.87915
2021-06-25 19:00:00+03,33074.1453
2021-06-25 19:00:30+03,33055.94165
2021-06-25 19:01:00+03,33040.34795
2021-06-25 19:01:30+03,32999.94915
2021-06-25 19:02:00+03,33002.5248
2021-06-25 19:02:30+03,32958.3425
2021-06-25 19:03:00+03,32998.7302
2021-06-25 19:03:30+03,33012.99915
2021-06-25 19:04:00+03,33066.7016
2021-06-25 19:04:30+03,33036.12335
2021-06-25 19:05:00+03,33074.27165
2021-06-25 19:05:30+03,33101.7949
2021-06-25 19:06:00+03,33077.57415
2021-06-25 19:06:30+03,33108.2339
2021-06-25 19:07:00+03,33113.31915
2021-06-25 19:07:30+03,33156.55295
2021-06-25 19:08:00+03,33153.01085
2021-06-25 19:08:30+03,33154.24465
2021-06-25 19:09:00+03,33159.02165
2021-06-25 19:09:30+03,33185.0339
2021-06-25 19:10:00+03,33158.76085
2021-06-25 19:10:30+03,33149.2412
2021-06-25 19:11:00+03,33052.36335
2021-06-25 19:11:30+03,33082.07985
2021-06-25 19:12:00+03,33067.96085
2021-06-25 19:12:30+03,33052.21
2021-06-25 19:13:00+03,33015.57175
2021-06-25 19:13:30+03,32943.8575
2021-06-25 19:14:00+03,32927.18035
2021-06-25 19:14:30+03,32928.06665
2021-06-25 19:15:00+03,32840.74905
2021-06-25 19:15:30+03,32754.7
2021-06-25 19:16:00+03,32728.81085
2021-06-25 19:16:30+03,32726.86585
2021-06-25 19:17:00+03,32719.72755
2021-06-25 19:17:30+03,32746.18
2021-06-25 19:18:00+03,32798.847
2021-06-25 19:18:30+03,32785.28085
2021-06-25 19:19:00+03,32873.1882
2021-06-25 19:19:30+03,32845.9175
2021-06-25 19:20:00+03,32821.6614
2021-06-25 19:20:30+03,32838.09085
2021-06-25 19:21:00+03,32915.72835
2021-06-25 19:21:30+03,32959.2371
2021-06-25 19:22:00+03,32945.215
2021-06-25 19:22:30+03,32935.015
2021-06-25 19:23:00+03,32951.90075
2021-06-25 19:23:30+03,32910.83085
2021-06-25 19:24:00+03,32905.29755
2021-06-25 19:24:30+03,32867.3975
2021-06-25 19:25:00+03,32875.44915
2021-06-25 19:25:30+03,32939.55555
2021-06-25 19:26:00+03,32903.29
2021-06-25 19:26:30+03,32863.11555
2021-06-25 19:27:00+03,32840.61915
2021-06-25 19:27:30+03,32883.28655
2021-06-25 19:28:00+03,32891.44585
2021-06-25 19:28:30+03,32915.74785
2021-06-25 19:29:00+03,32886.85415
2021-06-25 19:29:30+03,32878.84215
2021-06-25 19:30:00+03,32872.34335
2021-06-25 19:30:30+03,32916.9433
2021-06-25 19:31:00+03,32941.4725
2021-06-25 19:31:30+03,32994.2461
2021-06-25 19:32:00+03,32959.68415
2021-06-25 19:32:30+03,33017.23555
2021-06-25 19:33:00+03,33034.4
2021-06-25 19:33:30+03,32982.68585
2021-06-25 19:34:00+03,33034.72865
2021-06-25 19:34:30+03,33007.515
2021-06-25 19:35:00+03,33027.06405
2021-06-25 19:35:30+03,32999.1675
2021-06-25 19:36:00+03,33019.1731
2021-06-25 19:36:30+03,33000.7675
2021-06-25 19:37:00+03,32991.49075
2021-06-25 19:37:30+03,32920.0425
2021-06-25 19:38:00+03,32883.5952
2021-06-25 19:38:30+03,32848.12335
2021-06-25 19:39:00+03,32810.6389
2021-06-25 19:39:30+03,32780.57915
2021-06-25 19:40:00+03,32830.94595
2021-06-25 19:40:30+03,32813.24085
2021-06-25 19:41:00+03,32878.70675
2021-06-25 19:41:30+03,32843.6725
2021-06-25 19:42:00+03,32906.68665
2021-06-25 19:42:30+03,32882.4125
2021-06-25 19:43:00+03,32935.46655
2021-06-25 19:43:30+03,32897.5575
2021-06-25 19:44:00+03,32945.262
2021-06-25 19:44:30+03,32923.07335
2021-06-25 19:45:00+03,32952.49525
2021-06-25 19:45:30+03,32931.73415
2021-06-25 19:46:00+03,32914.76665
2021-06-25 19:46:30+03,32918.26415
2021-06-25 19:47:00+03,33019.77775
2021-06-25 19:47:30+03,32997.6925
2021-06-25 19:48:00+03,33014.02085
2021-06-25 19:48:30+03,33024.03085
2021-06-25 19:49:00+03,33066.9731
2021-06-25 19:49:30+03,33036.46585
2021-06-25 19:50:00+03,33080.83095
2021-06-25 19:50:30+03,33081.45665
2021-06-25 19:51:00+03,33070.07015
2021-06-25 19:51:30+03,33070.26
2021-06-25 19:52:00+03,33052.47585
2021-06-25 19:52:30+03,33036.6093
2021-06-25 19:53:00+03,33033.9443
2021-06-25 19:53:30+03,33016.93415
2021-06-25 19:54:00+03,33046.78475
2021-06-25 19:54:30+03,33011.4525
2021-06-25 19:55:00+03,33010.53165
2021-06-25 19:55:30+03,32988.71235
2021-06-25 19:56:00+03,32925.32085
2021-06-25 19:56:30+03,32943.6825
2021-06-25 19:57:00+03,32910.79085
2021-06-25 19:57:30+03,32964.63855
2021-06-25 19:58:00+03,32930.4775
2021-06-25 19:58:30+03,32910.5056
2021-06-25 19:59:00+03,32904.31085
2021-06-25 19:59:30+03,32972.6078
2021-06-25 20:00:00+03,32927.625
2021-06-25 20:00:30+03,32938.2782
2021-06-25 20:01:00+03,33023.82585
2021-06-25 20:01:30+03,33038.5123
2021-06-25 20:02:00+03,33036.08
2021-06-25 20:02:30+03,33035.53085
2021-06-25 20:03:00+03,33146.64005
2021-06-25 20:03:30+03,33145.17165
2021-06-25 20:04:00+03,33226.6926
2021-06-25 20:04:30+03,33227.85415
2021-06-25 20:05:00+03,33259.96505
2021-06-25 20:05:30+03,33223.28
2021-06-25 20:06:00+03,33210.02365
2021-06-25 20:06:30+03,33177.785
2021-06-25 20:07:00+03,33190.3964
2021-06-25 20:07:30+03,33174.61335
2021-06-25 20:08:00+03,33208.4166
2021-06-25 20:08:30+03,33191.79
2021-06-25 20:09:00+03,33252.45555
2021-06-25 20:09:30+03,33286.19165
2021-06-25 20:10:00+03,33333.51845
2021-06-25 20:10:30+03,33315.19085
2021-06-25 20:11:00+03,33328.6188
2021-06-25 20:11:30+03,33300.38335
2021-06-25 20:12:00+03,33342.69215
2021-06-25 20:12:30+03,33330.6025
2021-06-25 20:13:00+03,33348.66545
2021-06-25 20:13:30+03,33313.21165
2021-06-25 20:14:00+03,33368.977
2021-06-25 20:14:30+03,33389.4075
2021-06-25 20:15:00+03,33423.8739
2021-06-25 20:15:30+03,33391.66085
2021-06-25 20:16:00+03,33365.5975
2021-06-25 20:16:30+03,33385.27965
2021-06-25 20:17:00+03,33362.15835
2021-06-25 20:17:30+03,33361.82875
2021-06-25 20:18:00+03,33320.60915
2021-06-25 20:18:30+03,33304.4832
2021-06-25 20:19:00+03,33262.47415
2021-06-25 20:19:30+03,33279.52395
2021-06-25 20:20:00+03,33264.87085
2021-06-25 20:20:30+03,33338.07435
2021-06-25 20:21:00+03,33277.6925
2021-06-25 20:21:30+03,33309.59695
2021-06-25 20:22:00+03,33272.82915
2021-06-25 20:22:30+03,33289.82085
2021-06-25 20:23:00+03,33251.60165
2021-06-25 20:23:30+03,33273.2116
2021-06-25 20:24:00+03,33250.1975
2021-06-25 20:24:30+03,33257.96295
2021-06-25 20:25:00+03,33223.8425
2021-06-25 20:25:30+03,33214.78965
2021-06-25 20:26:00+03,33158.6875
2021-06-25 20:26:30+03,33165.4131
2021-06-25 20:27:00+03,33135.26
2021-06-25 20:27:30+03,33180.8342
2021-06-25 20:28:00+03,33172.95585
2021-06-25 20:28:30+03,33180.22025
2021-06-25 20:29:00+03,33189.66415
2021-06-25 20:29:30+03,33242.34
2021-06-25 20:30:00+03,33262.8623
2021-06-25 20:30:30+03,33211.5275
2021-06-25 20:31:00+03,33194.4997
2021-06-25 20:31:30+03,33129.96835
2021-06-25 20:32:00+03,33135.2189
2021-06-25 20:32:30+03,33097.6175
2021-06-25 20:33:00+03,33106.95885
2021-06-25 20:33:30+03,33076.66415
2021-06-25 20:34:00+03,33155.60675
2021-06-25 20:34:30+03,33147.27915
2021-06-25 20:35:00+03,33207.2517
2021-06-25 20:35:30+03,33158.6175
2021-06-25 20:36:00+03,33134.78975
2021-06-25 20:36:30+03,33106.9
2021-06-25 20:37:00+03,33115.20275
2021-06-25 20:37:30+03,33049.35165
2021-06-25 20:38:00+03,33068.4288
2021-06-25 20:38:30+03,33016.36
2021-06-25 20:39:00+03,32999.5861
2021-06-25 20:39:30+03,32940.73885
2021-06-25 20:40:00+03,32923.27415
2021-06-25 20:40:30+03,32863.8694
2021-06-25 20:41:00+03,32843.36585
2021-06-25 20:41:30+03,32850.3752
2021-06-25 20:42:00+03,32829.66085
2021-06-25 20:42:30+03,32856.66915
2021-06-25 20:43:00+03,32808.23585
2021-06-25 20:43:30+03,32756.1971
2021-06-25 20:44:00+03,32697.88915
2021-06-25 20:44:30+03,32740.35155
2021-06-25 20:45:00+03,32696.60335
2021-06-25 20:45:30+03,32594.3
2021-06-25 20:46:00+03,32630.92565
2021-06-25 20:46:30+03,32693.97085
2021-06-25 20:47:00+03,32682.43835
2021-06-25 20:47:30+03,32759.6324
2021-06-25 20:48:00+03,32781.35915
2021-06-25 20:48:30+03,32833.35105
2021-06-25 20:49:00+03,32802.68165
2021-06-25 20:49:30+03,32860.0575
2021-06-25 20:50:00+03,32865.55915
2021-06-25 20:50:30+03,32904.84185
2021-06-25 20:51:00+03,32867.70915
2021-06-25 20:51:30+03,32879.653
2021-06-25 20:52:00+03,32815.49665
2021-06-25 20:52:30+03,32817.811
2021-06-25 20:53:00+03,32769.45085
2021-06-25 20:53:30+03,32809.05615
2021-06-25 20:54:00+03,32774.47585
2021-06-25 20:54:30+03,32836.0858
2021-06-25 20:55:00+03,32809.41415
2021-06-25 20:55:30+03,32796.05945
2021-06-25 20:56:00+03,32774.45415
2021-06-25 20:56:30+03,32833.9938
2021-06-25 20:57:00+03,32824.65335
2021-06-25 20:57:30+03,32852.42395
2021-06-25 20:58:00+03,32811.49
2021-06-25 20:58:30+03,32838.8596
2021-06-25 20:59:00+03,32829.38
2021-06-25 20:59:30+03,32801.2125
2021-06-25 21:00:00+03,32821.52475
2021-06-25 21:00:30+03,32812.35165
2021-06-25 21:01:00+03,32877.9895
2021-06-25 21:01:30+03,32795.855
2021-06-25 21:02:00+03,32824.2909
2021-06-25 21:02:30+03,32770.52335
2021-06-25 21:03:00+03,32712.9037
2021-06-25 21:03:30+03,32647.64415
2021-06-25 21:04:00+03,32626.94145
2021-06-25 21:04:30+03,32548.59915
2021-06-25 21:05:00+03,32575.4491
2021-06-25 21:05:30+03,32544.1125
2021-06-25 21:06:00+03,32676.9937
2021-06-25 21:06:30+03,32622.655
2021-06-25 21:07:00+03,32668.4016
2021-06-25 21:07:30+03,32595.37085
2021-06-25 21:08:00+03,32556.93665
2021-06-25 21:08:30+03,32499.0375
2021-06-25 21:09:00+03,32538.91305
2021-06-25 21:09:30+03,32463.30165
2021-06-25 21:10:00+03,32454.45295
2021-06-25 21:10:30+03,32409.24585
2021-06-25 21:11:00+03,32456.8202
2021-06-25 21:11:30+03,32448.88415
2021-06-25 21:12:00+03,32469.58085
2021-06-25 21:12:30+03,32498.1516
2021-06-25 21:13:00+03,32503.3866
2021-06-25 21:13:30+03,32495.08665
2021-06-25 21:14:00+03,32548.00085
2021-06-25 21:14:30+03,32550.67385
2021-06-25 21:15:00+03,32543.42165
2021-06-25 21:15:30+03,32579.412
2021-06-25 21:16:00+03,32611.72
2021-06-25 21:16:30+03,32625.66085
2021-06-25 21:17:00+03,32556.74165
2021-06-25 21:17:30+03,32557.65355
2021-06-25 21:18:00+03,32518.22585
2021-06-25 21:18:30+03,32584.5405
2021-06-25 21:19:00+03,32586.77835
2021-06-25 21:19:30+03,32649.17645
2021-06-25 21:20:00+03,32655.42
2021-06-25 21:20:30+03,32664.05
2021-06-25 21:21:00+03,32653.61505
2021-06-25 21:21:30+03,32684.99835
2021-06-25 21:22:00+03,32736.3939
2021-06-25 21:22:30+03,32725.29165
2021-06-25 21:23:00+03,32743.71885
2021-06-25 21:23:30+03,32719.79335
