time_,pos,neg
2021-07-09 01:14:00,3,0
2021-07-09 01:14:30,1,3
2021-07-09 01:15:00,5,2
2021-07-09 01:15:30,1,2
2021-07-09 01:16:00,1,2
2021-07-09 01:16:30,2,1
2021-07-09 01:17:00,1,1
2021-07-09 01:17:30,2,0
2021-07-09 01:18:00,3,1
2021-07-09 01:18:30,4,0
2021-07-09 01:19:00,1,1
2021-07-09 01:19:30,1,1
2021-07-09 01:20:00,1,0
2021-07-09 01:20:30,2,1
2021-07-09 01:21:00,3,0
2021-07-09 01:21:30,1,0
2021-07-09 01:22:00,3,1
2021-07-09 01:22:30,0,2
2021-07-09 01:23:00,0,0
2021-07-09 01:23:30,3,0
2021-07-09 01:24:00,3,0
2021-07-09 01:24:30,1,1
2021-07-09 01:25:00,1,1
2021-07-09 01:25:30,5,0
2021-07-09 01:26:00,4,0
2021-07-09 01:26:30,2,1
2021-07-09 01:27:00,3,1
2021-07-09 01:27:30,3,1
2021-07-09 01:28:00,3,0
2021-07-09 01:28:30,3,1
2021-07-09 01:29:00,2,0
2021-07-09 01:29:30,2,0
2021-07-09 01:30:00,6,4
2021-07-09 01:30:30,2,3
2021-07-09 01:31:00,2,1
2021-07-09 01:31:30,2,3
2021-07-09 01:32:00,3,2
2021-07-09 01:32:30,1,2
2021-07-09 01:33:00,2,2
2021-07-09 01:33:30,1,2
2021-07-09 01:34:00,4,1
2021-07-09 01:34:30,3,0
2021-07-09 01:35:00,2,0
2021-07-09 01:35:30,4,0
2021-07-09 01:36:00,1,0
2021-07-09 01:36:30,1,1
2021-07-09 01:37:00,2,2
2021-07-09 01:38:00,1,0
2021-07-09 01:38:30,1,2
2021-07-09 01:39:00,4,1
2021-07-09 01:39:30,4,1
2021-07-09 01:40:00,4,2
2021-07-09 01:40:30,1,1
2021-07-09 01:41:00,2,0
2021-07-09 01:41:30,2,0
2021-07-09 01:42:00,2,2
2021-07-09 01:42:30,1,0
2021-07-09 01:43:00,0,0
2021-07-09 01:43:30,1,0
2021-07-09 01:44:00,2,1
2021-07-09 01:44:30,1,0
2021-07-09 01:45:00,2,1
2021-07-09 01:45:30,0,1
2021-07-09 01:46:00,0,0
2021-07-09 01:46:30,3,1
2021-07-09 01:47:00,1,0
2021-07-09 01:47:30,1,0
2021-07-09 01:48:00,2,1
2021-07-09 01:48:30,0,1
2021-07-09 01:49:00,1,1
2021-07-09 01:49:30,1,2
2021-07-09 01:50:00,0,0
2021-07-09 01:50:30,0,0
2021-07-09 01:51:00,1,1
2021-07-09 01:51:30,1,1
2021-07-09 01:52:00,1,1
2021-07-09 01:52:30,2,1
2021-07-09 01:53:00,0,0
2021-07-09 01:53:30,2,0
2021-07-09 01:54:00,1,0
2021-07-09 01:54:30,2,0
2021-07-09 01:55:00,2,0
2021-07-09 01:55:30,1,0
2021-07-09 01:56:00,1,0
2021-07-09 01:56:30,2,0
2021-07-09 01:57:00,0,0
2021-07-09 01:57:30,1,1
2021-07-09 01:58:00,2,1
2021-07-09 01:58:30,0,0
2021-07-09 01:59:00,1,0
2021-07-09 01:59:30,0,2
2021-07-09 02:00:00,2,4
2021-07-09 02:00:30,1,0
2021-07-09 02:01:00,1,0
2021-07-09 02:01:30,0,3
2021-07-09 02:02:00,2,1
2021-07-09 02:02:30,1,0
2021-07-09 02:03:00,2,1
2021-07-09 02:03:30,2,1
2021-07-09 02:04:00,1,1
2021-07-09 02:04:30,2,1
2021-07-09 02:05:00,3,0
2021-07-09 02:05:30,1,2
2021-07-09 02:06:00,1,1
2021-07-09 02:06:30,0,0
2021-07-09 02:07:00,2,0
2021-07-09 02:07:30,2,2
2021-07-09 02:08:00,3,1
2021-07-09 02:09:00,1,0
2021-07-09 02:09:30,1,1
2021-07-09 02:10:00,1,3
2021-07-09 02:10:30,0,0
2021-07-09 02:11:00,0,2
2021-07-09 02:11:30,5,1
2021-07-09 02:12:00,3,1
2021-07-09 02:12:30,1,1
2021-07-09 02:13:00,3,4
2021-07-09 02:13:30,0,3
2021-07-09 02:14:00,2,0
2021-07-09 02:14:30,2,2
2021-07-09 02:15:00,0,0
2021-07-09 02:15:30,2,1
2021-07-09 02:16:00,3,1
2021-07-09 02:16:30,2,1
2021-07-09 02:17:00,0,0
2021-07-09 02:17:30,3,0
2021-07-09 02:18:00,2,2
2021-07-09 02:18:30,1,0
2021-07-09 02:19:00,1,0
2021-07-09 02:19:30,1,2
2021-07-09 02:20:00,1,1
2021-07-09 02:20:30,1,0
2021-07-09 02:21:00,3,1
2021-07-09 02:21:30,2,2
2021-07-09 02:22:00,1,0
2021-07-09 02:22:30,4,0
2021-07-09 02:23:00,0,0
2021-07-09 02:23:30,0,2
2021-07-09 02:24:00,4,1
2021-07-09 02:24:30,0,0
2021-07-09 02:25:00,0,0
2021-07-09 02:25:30,6,2
2021-07-09 02:26:00,0,1
2021-07-09 02:26:30,1,1
2021-07-09 02:27:00,2,1
2021-07-09 02:27:30,0,0
2021-07-09 02:28:00,2,0
2021-07-09 02:28:30,0,1
2021-07-09 02:29:00,0,1
2021-07-09 02:29:30,1,1
2021-07-09 02:30:00,0,4
2021-07-09 02:30:30,1,0
2021-07-09 02:31:00,1,0
2021-07-09 02:31:30,1,0
2021-07-09 02:32:00,2,0
2021-07-09 02:32:30,1,1
2021-07-09 02:33:00,3,0
2021-07-09 02:33:30,1,0
2021-07-09 02:34:00,0,1
2021-07-09 02:34:30,5,1
2021-07-09 02:35:00,3,0
2021-07-09 02:35:30,2,0
2021-07-09 02:36:00,1,0
2021-07-09 02:36:30,2,0
2021-07-09 02:37:00,1,0
2021-07-09 02:37:30,2,0
2021-07-09 02:38:00,4,1
2021-07-09 02:38:30,1,1
2021-07-09 02:39:00,1,0
2021-07-09 02:39:30,2,0
2021-07-09 02:40:00,3,0
2021-07-09 02:40:30,1,1
2021-07-09 02:41:00,1,1
2021-07-09 02:41:30,3,1
2021-07-09 02:42:00,0,1
2021-07-09 02:42:30,3,2
2021-07-09 02:43:00,1,0
2021-07-09 02:43:30,2,0
2021-07-09 02:44:00,0,0
2021-07-09 02:44:30,1,1
2021-07-09 02:45:00,3,0
2021-07-09 02:45:30,2,2
2021-07-09 02:46:00,2,1
2021-07-09 02:46:30,5,2
2021-07-09 02:47:00,3,1
2021-07-09 02:47:30,5,0
2021-07-09 02:48:00,1,2
2021-07-09 02:48:30,1,0
2021-07-09 02:49:00,0,1
2021-07-09 02:49:30,1,2
2021-07-09 02:50:00,0,1
2021-07-09 02:50:30,0,4
2021-07-09 02:51:00,2,0
2021-07-09 02:51:30,1,0
2021-07-09 02:52:00,2,1
2021-07-09 02:52:30,2,0
2021-07-09 02:53:00,2,1
2021-07-09 02:53:30,3,0
2021-07-09 02:54:00,3,5
2021-07-09 02:54:30,2,0
2021-07-09 02:55:00,0,0
2021-07-09 02:55:30,6,0
2021-07-09 02:56:00,2,0
2021-07-09 02:56:30,5,1
2021-07-09 02:57:00,1,1
2021-07-09 02:57:30,4,1
2021-07-09 02:58:00,1,0
2021-07-09 02:58:30,1,0
2021-07-09 02:59:00,2,2
2021-07-09 02:59:30,2,2
2021-07-09 03:00:00,2,2
2021-07-09 03:00:30,2,1
2021-07-09 03:01:00,1,1
2021-07-09 03:01:30,0,1
2021-07-09 03:02:00,3,2
2021-07-09 03:02:30,1,1
2021-07-09 03:03:00,1,0
2021-07-09 03:03:30,1,0
2021-07-09 03:04:00,2,0
2021-07-09 03:04:30,0,1
2021-07-09 03:05:00,2,1
2021-07-09 03:05:30,3,1
2021-07-09 03:06:00,2,1
2021-07-09 03:06:30,3,1
2021-07-09 03:07:00,1,1
2021-07-09 03:07:30,2,0
2021-07-09 03:08:00,0,0
2021-07-09 03:08:30,0,0
2021-07-09 03:09:00,1,1
2021-07-09 03:09:30,0,0
2021-07-09 03:10:00,2,3
2021-07-09 03:10:30,2,0
2021-07-09 03:11:00,1,2
2021-07-09 03:11:30,1,6
2021-07-09 03:12:00,0,2
2021-07-09 03:12:30,2,0
2021-07-09 03:13:00,0,2
2021-07-09 03:13:30,0,0
2021-07-09 03:14:00,2,0
2021-07-09 03:14:30,1,1
2021-07-09 03:15:00,2,1
2021-07-09 03:15:30,2,0
2021-07-09 03:16:00,1,0
2021-07-09 03:16:30,3,0
2021-07-09 03:17:00,1,0
2021-07-09 03:17:30,2,1
2021-07-09 03:18:00,3,0
2021-07-09 03:19:00,0,1
2021-07-09 03:19:30,0,0
2021-07-09 03:20:00,3,1
2021-07-09 03:20:30,5,0
2021-07-09 03:21:00,1,0
2021-07-09 03:21:30,4,0
2021-07-09 03:22:00,2,0
2021-07-09 03:22:30,2,0
2021-07-09 03:23:00,2,2
2021-07-09 03:23:30,3,1
2021-07-09 03:24:00,2,0
2021-07-09 03:24:30,2,0
